mid_age,diet_category,mean_ghgs,mean_land,mean_watscar,n_participants
25,high_meat,11.1480254743545,22.3586831532465,23239.048514334998,525000
25,low_meat,7.1502167596475,11.6488314419565,19469.6220884,820000
25,medium_meat,5.614449455138001,8.417681995348001,17185.6226040305,895000
25,pescatarian,5.281317998153501,6.9354600905104995,18401.494002939,1492000
25,plant_based,2.6132223461665,4.4478235546385,14703.501579479,685000
25,vegetarian,4.6098665595485,6.555142646082,15943.386963719,4398000
35,high_meat,10.800205379380001,21.878972407351498,22716.130728115,1038000
35,low_meat,7.3652798248815,12.225871412521,19507.78734889,1654000
35,medium_meat,5.706027322060001,8.3078594887525,18133.129456905997,1853000
35,pescatarian,5.1349352183675,6.7464960902895,18302.8618489735,2436000
35,plant_based,2.6192827195754997,4.376415882184999,14585.665551259,627000
35,vegetarian,4.587741163444,6.526489845344,16038.451252002998,4855000
45,high_meat,11.367994157553499,24.091384771419,21780.290066625,2551000
45,low_meat,7.632831975153,13.4041486908325,18889.846507605,3373000
45,medium_meat,5.751755976079,8.5227685740495,17657.943370798497,2541000
45,pescatarian,5.064421391013,6.715811727565501,18009.4511722485,2121000
45,plant_based,2.6759842207425,4.5396449268435,15072.633720524,384000
45,vegetarian,4.498463898017,6.4641780813145,16135.1525485775,3657000
55,high_meat,11.626220842772,24.849760061109,22077.332382825,2344000
55,low_meat,7.669507895518,13.556374334578,18931.561977765003,3353000
55,medium_meat,5.8383045919665,8.7384109459615,17783.1261946985,2108000
55,pescatarian,5.043338061547,6.6298905453945,18447.691918981,1160000
55,plant_based,2.5226171172995002,4.420674281180499,14750.376238091,168000
55,vegetarian,4.4127833772630005,6.416071769879499,16356.8639603465,1629000
65,high_meat,11.4853245281355,24.5089444130845,22343.900371475,1386000
65,low_meat,7.68852891884,13.5011650607255,19332.021395624997,2090000
65,medium_meat,5.891692465913501,8.928418782090501,17862.231046865003,1411000
65,pescatarian,5.128824599646999,6.9577694579375,18844.7121281995,651000
65,plant_based,2.530327764995,4.6510131604555,16385.5440431465,133000
65,vegetarian,4.458664336091,6.5525053012215,16770.3994165255,765000
75,high_meat,12.1274204114405,26.372623486754,22826.641015255,442000
75,low_meat,7.817535212202,14.183601058087001,19575.152069800002,681000
75,medium_meat,5.981103945152,9.060513449901,18280.737558309498,524000
75,pescatarian,5.1473582663215005,7.1332922893325,19387.4707608355,263000
75,plant_based,2.713931199688,4.6285986038555,16377.208057562999,44000
75,vegetarian,4.542948350885,6.737652899393,17577.1021376565,447000
